                 Horz         Vert         Sync.                           
 Tune           ( .4551  )   ( .403786)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Vertical  ]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:VP605   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase ( .43376 )                          
    Average RMS deviation:  .04882 +  .03373                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:VP121    -0.49766  2.07086    0.049   27.579 -0.06390                         
R:VP123    -0.29406  1.80592    0.034   20.973  0.13970                         
R:VP125    -0.05236  1.87499    0.042   22.608  0.38140                         
R:VP127     0.14940  1.93667    0.037   24.120 -0.41684                         
R:VP129     0.39123  1.73893    0.033   19.446 -0.17501                         
R:VP201    -0.40723  1.90741    0.050   23.397  0.02653                         
R:VP203    -0.17007  1.76206    0.039   19.967  0.26369                         
R:VP205     0.04679  1.96446    0.042   24.817  0.48055                         
R:VP207     0.26748  1.66452    0.030   17.817 -0.29876                         
R:VP209     0.49559  1.75861    0.046   19.889 -0.07065                         
R:VP211    -0.29691  1.73738    0.043   19.411  0.13685                         
R:VP213    -0.05801  1.71596    0.036   18.936  0.37575                         
R:VP215     0.15371  1.88674    0.039   22.892 -0.41253                         
R:VP217     0.36692  1.39921    0.035   12.590 -0.19932                         
R:VP219    -0.33081  1.68751    0.035   18.313  0.10295                         
R:VP221    -0.12078  1.89327    0.039   23.051  0.31298                         
