Cavity #124      
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5626e9 	58808.           	24434.	1   	0.                
   lr(2) =       	1.7276e9 	48244.99999999999	2017.2	1   	0.                
   lr(3) =       	1.6921e9 	46468.           	2031.8	1   	0.                
   lr(4) =       	1.8656e9 	32635.           	1177.9	1   	0.                
   lr(5) =       	1.7287e9 	46022.99999999999	712.09	1   	0.                
   lr(6) =       	1.8661e9 	31437.           	1066.1	1   	0.                
   lr(7) =       	1.876e9  	10020.           	3169. 	1   	0.                
   lr(8) =       	1.8639e9 	33045.           	881.8 	1   	0.                
   lr(9) =       	1.8499e9 	24055.           	663.87	1   	0.                
   lr(10) =      	2.5145e9 	9491.300000000001	1839.1	1   	0.                
/                
