Cavity #6        
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5481e9 	70431.            	9363.8 	1   	0.                
   lr(2) =       	3.049e9  	2731.7000000000003	199010.	1   	0.                
   lr(3) =       	1.6308e9 	2507.2            	43366. 	1   	0.                
   lr(4) =       	1.8696e9 	42747.            	2193.2 	1   	0.                
   lr(5) =       	1.7293e9 	32472.            	1878.5 	1   	0.                
   lr(6) =       	1.8521e9 	28675.            	1670.3 	1   	0.                
   lr(7) =       	1.87e9   	49663.00000000001 	653.39 	1   	0.                
   lr(8) =       	2.5474e9 	54953.            	784.3  	1   	0.                
   lr(9) =       	1.7032e9 	26431.            	472.64 	1   	0.                
   lr(10) =      	1.6876e9 	28072.            	355.09 	1   	0.                
/                
