Cavity #2        
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5604e9 	52786.           	62621.	1   	0.                
   lr(2) =       	1.7367e9 	45651.           	2064.6	1   	0.                
   lr(3) =       	1.8754e9 	31593.           	2639.5	1   	0.                
   lr(4) =       	1.8748e9 	34668.           	2382.6	1   	0.                
   lr(5) =       	1.8532e9 	33342.           	1698. 	1   	0.                
   lr(6) =       	1.7061e9 	44912.           	1086.6	1   	0.                
   lr(7) =       	1.6346e9 	4114.900000000001	9457. 	1   	0.                
   lr(8) =       	2.5214e9 	14207.           	3037.6	1   	0.                
   lr(9) =       	2.5431e9 	13389.           	1220.9	1   	0.                
   lr(10) =      	1.7896e9 	9155.3           	1168.5	1   	0.                
/                
