Cavity #38       
                 	Frequency	R/Q       	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5617e9 	56664.    	12679.	1   	0.                
   lr(2) =       	1.7426e9 	51311.    	1598.1	1   	0.                
   lr(3) =       	1.7096e9 	44822.    	1663.6	1   	0.                
   lr(4) =       	1.8719e9 	39065.    	1544. 	1   	0.                
   lr(5) =       	1.8857e9 	12114.    	4408. 	1   	0.                
   lr(6) =       	1.8708e9 	36285.    	1455.3	1   	0.                
   lr(7) =       	1.8722e9 	42823.    	962.45	1   	0.                
   lr(8) =       	2.5388e9 	10720.    	4666.8	1   	0.                
   lr(9) =       	2.5231e9 	19390.    	1970.4	1   	0.                
   lr(10) =      	1.8584e9 	17914.    	1107.8	1   	0.                
/                
