Cavity #123      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0752e9 	381.77000000000004	2.0647e7	1   	0.                
   lr(2) =       	1.885e9  	6635.799999999999 	20038.  	1   	0.                
   lr(3) =       	1.885e9  	7064.4            	13817.  	1   	0.                
   lr(4) =       	1.7086e9 	46458.00000000001 	1803.7  	1   	0.                
   lr(5) =       	1.7424e9 	57440.            	1386.9  	1   	0.                
   lr(6) =       	2.5741e9 	53240.99999999999 	2027.3  	1   	0.                
   lr(7) =       	1.8724e9 	32506.            	2399.4  	1   	0.                
   lr(8) =       	2.5605e9 	18765.            	4334.1  	1   	0.                
   lr(9) =       	1.872e9  	33154.            	1785.5  	1   	0.                
   lr(10) =      	1.8712e9 	30035.            	1115.6  	1   	0.                
/                
