Cavity #157      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0585e9 	1397.             	2.1001e6	1   	0.                
   lr(2) =       	1.7356e9 	54890.            	2459.2  	1   	0.                
   lr(3) =       	1.6348e9 	3105.3999999999996	27495.  	1   	0.                
   lr(4) =       	1.8685e9 	33680.            	2708.9  	1   	0.                
   lr(5) =       	2.5457e9 	7226.5            	12766.  	1   	0.                
   lr(6) =       	1.8692e9 	38915.            	986.67  	1   	0.                
   lr(7) =       	2.5225e9 	19666.            	2405.9  	1   	0.                
   lr(8) =       	1.855e9  	23651.            	1111.9  	1   	0.                
   lr(9) =       	1.6864e9 	22070.            	871.39  	1   	0.                
   lr(10) =      	1.7043e9 	29594.999999999996	598.34  	1   	0.                
/                
