Cavity #27       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5512e9 	51945.           	178910.	1   	0.                
   lr(2) =       	1.602e9  	831.64           	320920.	1   	0.                
   lr(3) =       	3.0801e9 	3265.            	61193. 	1   	0.                
   lr(4) =       	1.8687e9 	39188.           	1603.4 	1   	0.                
   lr(5) =       	1.8698e9 	42040.           	1358.4 	1   	0.                
   lr(6) =       	1.7342e9 	36233.           	1418.2 	1   	0.                
   lr(7) =       	1.8781e9 	13915.           	3207.3 	1   	0.                
   lr(8) =       	1.7017e9 	43893.00000000001	817.57 	1   	0.                
   lr(9) =       	1.8501e9 	24770.           	1531.  	1   	0.                
   lr(10) =      	1.6858e9 	16405.           	610.75 	1   	0.                
/                
