Cavity #23       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5505e9 	67340.    	52137. 	1   	0.                
   lr(2) =       	3.0659e9 	1503.4    	236790.	1   	0.                
   lr(3) =       	3.0743e9 	3419.4    	56470. 	1   	0.                
   lr(4) =       	1.7299e9 	40457.    	2108.4 	1   	0.                
   lr(5) =       	1.8687e9 	41884.    	2052.9 	1   	0.                
   lr(6) =       	1.8786e9 	11930.    	3628.2 	1   	0.                
   lr(7) =       	1.8523e9 	24337.    	1450.8 	1   	0.                
   lr(8) =       	1.7016e9 	37317.    	853.9  	1   	0.                
   lr(9) =       	2.5188e9 	21055.    	1411.5 	1   	0.                
   lr(10) =      	1.879e9  	14015.    	1398.3 	1   	0.                
/                
