Cavity #8        
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0521e9 	730.16            	3.2621e7	1   	0.                
   lr(2) =       	3.0521e9 	731.28            	3.232e7 	1   	0.                
   lr(3) =       	3.0564e9 	1036.2            	1.4894e7	1   	0.                
   lr(4) =       	3.0599e9 	2871.6000000000004	1.3343e6	1   	0.                
   lr(5) =       	2.5471e9 	47290.            	5961.3  	1   	0.                
   lr(6) =       	2.5308e9 	43465.99999999999 	2855.2  	1   	0.                
   lr(7) =       	2.5308e9 	42900.            	2704.9  	1   	0.                
   lr(8) =       	1.7416e9 	39682.            	1972.2  	1   	0.                
   lr(9) =       	1.8717e9 	40942.            	1230.5  	1   	0.                
   lr(10) =      	1.8577e9 	24363.            	1494.6  	1   	0.                
/                
