Cavity #64       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5596e9 	71094.           	25806. 	1   	0.                
   lr(2) =       	1.6072e9 	1361.8           	392170.	1   	0.                
   lr(3) =       	1.8726e9 	37876.           	3030.  	1   	0.                
   lr(4) =       	1.7198e9 	50324.           	1619.6 	1   	0.                
   lr(5) =       	1.635e9  	2584.1           	25313. 	1   	0.                
   lr(6) =       	1.8731e9 	41553.00000000001	1480.9 	1   	0.                
   lr(7) =       	1.7427e9 	39023.           	1363.7 	1   	0.                
   lr(8) =       	1.8553e9 	24609.           	1899.  	1   	0.                
   lr(9) =       	2.5465e9 	5410.9           	5866.5 	1   	0.                
   lr(10) =      	1.8733e9 	32700.           	677.54 	1   	0.                
/                
