Cavity #9        
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5459e9 	63736.           	61585. 	1   	0.                
   lr(2) =       	1.5985e9 	1399.7           	377280.	1   	0.                
   lr(3) =       	2.5458e9 	58785.99999999999	13376. 	1   	0.                
   lr(4) =       	1.8669e9 	45323.           	2477.9 	1   	0.                
   lr(5) =       	1.731e9  	32624.           	1599.8 	1   	0.                
   lr(6) =       	1.7021e9 	43650.           	1160.7 	1   	0.                
   lr(7) =       	1.8504e9 	29739.           	1392.8 	1   	0.                
   lr(8) =       	1.8672e9 	50157.99999999999	602.49 	1   	0.                
   lr(9) =       	2.5156e9 	12703.           	2086.1 	1   	0.                
   lr(10) =      	1.8796e9 	8103.8           	2356.2 	1   	0.                
/                
