Cavity #109      
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5421e9 	69586.            	21553. 	1   	0.                
   lr(2) =       	2.542e9  	66222.            	8506.6 	1   	0.                
   lr(3) =       	3.0637e9 	1991.9            	211510.	1   	0.                
   lr(4) =       	1.7232e9 	43105.            	1706.6 	1   	0.                
   lr(5) =       	1.8659e9 	42792.            	1665.9 	1   	0.                
   lr(6) =       	1.7235e9 	45265.00000000001 	744.24 	1   	0.                
   lr(7) =       	1.6949e9 	35765.            	766.66 	1   	0.                
   lr(8) =       	1.8667e9 	48787.            	599.81 	1   	0.                
   lr(9) =       	1.8509e9 	22615.            	1206.8 	1   	0.                
   lr(10) =      	1.8791e9 	14910.000000000002	825.72 	1   	0.                
/                
