Cavity #92       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0567e9 	902.37           	8.1052e6	1   	0.                
   lr(2) =       	3.0567e9 	907.5600000000001	2.0592e6	1   	0.                
   lr(3) =       	2.5461e9 	58718.           	5732.1  	1   	0.                
   lr(4) =       	1.7394e9 	48188.00000000001	2416.5  	1   	0.                
   lr(5) =       	2.5403e9 	34387.           	3444.6  	1   	0.                
   lr(6) =       	1.6956e9 	44532.99999999999	1131.4  	1   	0.                
   lr(7) =       	1.8707e9 	42553.           	1009.8  	1   	0.                
   lr(8) =       	1.8597e9 	21298.           	1387.9  	1   	0.                
   lr(9) =       	1.8731e9 	45111.           	559.57  	1   	0.                
   lr(10) =      	1.8816e9 	15707.           	1037.9  	1   	0.                
/                
