Cavity #12       
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5549e9 	50964.            	5242.2	1   	0.                
   lr(2) =       	1.7064e9 	54355.            	1926. 	1   	0.                
   lr(3) =       	1.8672e9 	36095.            	2464.2	1   	0.                
   lr(4) =       	1.8678e9 	36679.            	2346.2	1   	0.                
   lr(5) =       	1.8515e9 	28267.000000000004	1543.3	1   	0.                
   lr(6) =       	1.877e9  	5805.4            	7459.8	1   	0.                
   lr(7) =       	1.7369e9 	25783.            	1542.7	1   	0.                
   lr(8) =       	2.5302e9 	24180.            	1455.8	1   	0.                
   lr(9) =       	1.6621e9 	10267.            	1665.1	1   	0.                
   lr(10) =      	1.6785e9 	12723.            	546.49	1   	0.                
/                
