Cavity #49       
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0748e9 	1215.             	2.0254e7	1   	0.                
   lr(2) =       	3.0748e9 	1216.5            	1.9965e7	1   	0.                
   lr(3) =       	1.5907e9 	918.6800000000001 	546300. 	1   	0.                
   lr(4) =       	2.5637e9 	50930.            	12542.  	1   	0.                
   lr(5) =       	1.7009e9 	50946.99999999999 	2066.6  	1   	0.                
   lr(6) =       	1.7397e9 	47162.            	2117.4  	1   	0.                
   lr(7) =       	1.8709e9 	33046.            	1552.   	1   	0.                
   lr(8) =       	2.5503e9 	22966.000000000004	2512.1  	1   	0.                
   lr(9) =       	1.8605e9 	21154.            	1301.5  	1   	0.                
   lr(10) =      	1.8719e9 	38836.            	352.41  	1   	0.                
/                
