Cavity #4        
                 	Frequency	R/Q               	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	1.5963e9 	817.03            	784700.	1   	0.                
   lr(2) =       	2.5429e9 	48480.99999999999 	15973. 	1   	0.                
   lr(3) =       	3.0708e9 	2121.2            	253910.	1   	0.                
   lr(4) =       	2.5432e9 	54447.            	4749.7 	1   	0.                
   lr(5) =       	1.8718e9 	36737.            	3464.  	1   	0.                
   lr(6) =       	1.8719e9 	37974.            	2004.  	1   	0.                
   lr(7) =       	1.7122e9 	47098.00000000001 	1203.9 	1   	0.                
   lr(8) =       	1.7389e9 	36433.            	1387.6 	1   	0.                
   lr(9) =       	1.8556e9 	25886.999999999996	2022.8 	1   	0.                
   lr(10) =      	1.8725e9 	30981.            	726.89 	1   	0.                
/                
