Cavity #50       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0546e9 	1675.7           	301380.	1   	0.                
   lr(2) =       	3.0764e9 	3117.4           	101020.	1   	0.                
   lr(3) =       	2.5482e9 	67182.           	3185.6 	1   	0.                
   lr(4) =       	1.8696e9 	42061.           	3194.7 	1   	0.                
   lr(5) =       	2.548e9  	48033.           	2359.  	1   	0.                
   lr(6) =       	1.7107e9 	50622.           	1413.5 	1   	0.                
   lr(7) =       	1.87e9   	40432.           	1867.4 	1   	0.                
   lr(8) =       	1.745e9  	31375.           	1788.2 	1   	0.                
   lr(9) =       	1.8565e9 	21297.           	2394.4 	1   	0.                
   lr(10) =      	1.8815e9 	9915.300000000001	3733.1 	1   	0.                
/                
