Cavity #29       
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5814e9 	49677.            	23077.	1   	0.                
   lr(2) =       	1.7376e9 	63882.            	2429.6	1   	0.                
   lr(3) =       	2.5551e9 	14016.            	10696.	1   	0.                
   lr(4) =       	1.7008e9 	36318.            	1615.6	1   	0.                
   lr(5) =       	1.8837e9 	9434.7            	2753.4	1   	0.                
   lr(6) =       	1.8723e9 	27139.000000000004	809.61	1   	0.                
   lr(7) =       	1.8721e9 	25011.            	837.48	1   	0.                
   lr(8) =       	1.7766e9 	14970.000000000002	1003.8	1   	0.                
   lr(9) =       	1.8585e9 	17406.            	889.76	1   	0.                
   lr(10) =      	1.8752e9 	24150.            	610.82	1   	0.                
/                
