Cavity #80       
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0496e9 	662.4399999999999 	9.5366e6	1   	0.                
   lr(2) =       	3.0496e9 	653.8             	4.8912e6	1   	0.                
   lr(3) =       	1.7035e9 	54654.99999999999 	2313.4  	1   	0.                
   lr(4) =       	2.5374e9 	51759.00000000001 	3081.4  	1   	0.                
   lr(5) =       	2.5378e9 	54585.            	2044.1  	1   	0.                
   lr(6) =       	1.8734e9 	38215.            	1789.7  	1   	0.                
   lr(7) =       	1.7449e9 	33416.            	1798.4  	1   	0.                
   lr(8) =       	1.8553e9 	30381.999999999996	1747.2  	1   	0.                
   lr(9) =       	1.8725e9 	35704.            	1420.5  	1   	0.                
   lr(10) =      	1.874e9  	40837.            	1146.9  	1   	0.                
/                
