Cavity #96       
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5697e9 	60369.           	7311. 	1   	0.                
   lr(2) =       	1.6152e9 	1553.9           	75948.	1   	0.                
   lr(3) =       	1.7197e9 	44903.00000000001	1905.8	1   	0.                
   lr(4) =       	1.746e9  	54602.00000000001	1472.2	1   	0.                
   lr(5) =       	2.5554e9 	21760.           	4251. 	1   	0.                
   lr(6) =       	1.8765e9 	32216.           	1866.3	1   	0.                
   lr(7) =       	1.876e9  	39193.           	901.36	1   	0.                
   lr(8) =       	1.8775e9 	30919.           	1129.6	1   	0.                
   lr(9) =       	1.8822e9 	11645.           	2333.1	1   	0.                
   lr(10) =      	1.8624e9 	22145.           	1152.1	1   	0.                
/                
