Cavity #81       
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	1.622e9  	2643.6           	44228.	1   	0.                
   lr(2) =       	3.0922e9 	3392.8           	61084.	1   	0.                
   lr(3) =       	1.7179e9 	50451.           	1556.4	1   	0.                
   lr(4) =       	1.8716e9 	33851.           	2413. 	1   	0.                
   lr(5) =       	1.8819e9 	8523.4           	7388.2	1   	0.                
   lr(6) =       	1.7485e9 	37998.           	1470.3	1   	0.                
   lr(7) =       	1.8725e9 	32777.           	1468.4	1   	0.                
   lr(8) =       	1.8614e9 	18678.           	2316. 	1   	0.                
   lr(9) =       	1.8819e9 	9398.300000000001	3331. 	1   	0.                
   lr(10) =      	2.5501e9 	27698.           	1100.2	1   	0.                
/                
