Cavity #151      
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0669e9 	720.21           	4.1592e7	1   	0.                
   lr(2) =       	3.0669e9 	714.5999999999999	6.9535e6	1   	0.                
   lr(3) =       	1.8684e9 	44075.           	1790.2  	1   	0.                
   lr(4) =       	2.5443e9 	46268.           	2225.9  	1   	0.                
   lr(5) =       	2.5222e9 	36299.           	2670.4  	1   	0.                
   lr(6) =       	1.7323e9 	30836.           	2099.   	1   	0.                
   lr(7) =       	1.6977e9 	41790.           	962.85  	1   	0.                
   lr(8) =       	1.8543e9 	22615.           	1704.   	1   	0.                
   lr(9) =       	2.5201e9 	34868.           	849.68  	1   	0.                
   lr(10) =      	1.869e9  	31004.           	486.46  	1   	0.                
/                
