Cavity #90       
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	5.5266e9 	2522.2            	1.4308e6	1   	0.                
   lr(2) =       	3.0479e9 	2862.9            	382590. 	1   	0.                
   lr(3) =       	3.0479e9 	2893.             	349920. 	1   	0.                
   lr(4) =       	3.0479e9 	2802.2000000000003	316150. 	1   	0.                
   lr(5) =       	1.8655e9 	42104.            	3766.9  	1   	0.                
   lr(6) =       	1.8806e9 	11811.            	5552.   	1   	0.                
   lr(7) =       	1.8509e9 	28384.            	2184.4  	1   	0.                
   lr(8) =       	2.5408e9 	42960.            	1485.   	1   	0.                
   lr(9) =       	1.7039e9 	41800.            	862.26  	1   	0.                
   lr(10) =      	1.7401e9 	16636.            	2063.1  	1   	0.                
/                
