Cavity #84       
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	1.7122e9 	57428.            	2370.6	1   	0.                
   lr(2) =       	1.8703e9 	37007.            	3884. 	1   	0.                
   lr(3) =       	2.5519e9 	50211.            	3186.8	1   	0.                
   lr(4) =       	2.5519e9 	48313.            	3056.5	1   	0.                
   lr(5) =       	1.8708e9 	38115.            	2223.6	1   	0.                
   lr(6) =       	1.8546e9 	26134.            	2366.6	1   	0.                
   lr(7) =       	1.8709e9 	36667.            	1638.6	1   	0.                
   lr(8) =       	1.7444e9 	26039.            	1767.7	1   	0.                
   lr(9) =       	1.8828e9 	11099.000000000002	3368.3	1   	0.                
   lr(10) =      	1.6787e9 	18168.            	933.22	1   	0.                
/                
