Cavity #159      
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0864e9 	2377.6            	2.0435e6	1   	0.                
   lr(2) =       	5.5889e9 	2341.5            	367550. 	1   	0.                
   lr(3) =       	5.5889e9 	2350.9            	348890. 	1   	0.                
   lr(4) =       	1.8698e9 	30232.            	3956.7  	1   	0.                
   lr(5) =       	1.8584e9 	22815.            	4130.4  	1   	0.                
   lr(6) =       	1.7383e9 	36953.            	1517.7  	1   	0.                
   lr(7) =       	1.8702e9 	28176.            	2006.2  	1   	0.                
   lr(8) =       	1.7085e9 	45565.            	955.5   	1   	0.                
   lr(9) =       	2.5464e9 	35403.            	1790.7  	1   	0.                
   lr(10) =      	1.6877e9 	15435.000000000002	583.81  	1   	0.                
/                
