Cavity #4        
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5586e9 	66965.            	12310.  	1   	0.                
   lr(2) =       	3.0673e9 	391.73            	1.8514e6	1   	0.                
   lr(3) =       	1.7061e9 	53239.            	1896.   	1   	0.                
   lr(4) =       	1.8687e9 	40701.            	1904.7  	1   	0.                
   lr(5) =       	1.7381e9 	41017.            	1517.1  	1   	0.                
   lr(6) =       	1.8693e9 	39524.            	1221.   	1   	0.                
   lr(7) =       	1.854e9  	24841.000000000004	1720.6  	1   	0.                
   lr(8) =       	1.8702e9 	42909.            	737.37  	1   	0.                
   lr(9) =       	2.5423e9 	11135.            	3316.1  	1   	0.                
   lr(10) =      	4.6674e9 	11548.            	5662.2  	1   	0.                
/                
