Cavity #37       
                 	Frequency	R/Q              	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5526e9 	74940.           	8013. 	1   	0.                
   lr(2) =       	1.7009e9 	52135.99999999999	2127.9	1   	0.                
   lr(3) =       	1.7362e9 	45510.           	1904.8	1   	0.                
   lr(4) =       	3.0743e9 	3527.7           	20587.	1   	0.                
   lr(5) =       	1.8701e9 	38173.           	900.14	1   	0.                
   lr(6) =       	1.8714e9 	38904.           	838.01	1   	0.                
   lr(7) =       	1.869e9  	35717.           	875.  	1   	0.                
   lr(8) =       	1.8558e9 	25074.           	996.87	1   	0.                
   lr(9) =       	4.6769e9 	9697.5           	6381.5	1   	0.                
   lr(10) =      	1.7905e9 	11517.           	607.64	1   	0.                
/                
