Cavity #77       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0623e9 	1698.7           	1.0157e6	1   	0.                
   lr(2) =       	3.0623e9 	1700.2           	989410. 	1   	0.                
   lr(3) =       	2.5482e9 	59246.           	3093.1  	1   	0.                
   lr(4) =       	1.7022e9 	46680.           	1498.3  	1   	0.                
   lr(5) =       	1.7318e9 	41411.           	1606.2  	1   	0.                
   lr(6) =       	1.87e9   	40914.           	1640.9  	1   	0.                
   lr(7) =       	1.8707e9 	40589.00000000001	1195.7  	1   	0.                
   lr(8) =       	1.8523e9 	26104.           	1578.9  	1   	0.                
   lr(9) =       	2.5324e9 	18870.           	2671.9  	1   	0.                
   lr(10) =      	1.8717e9 	44610.           	766.93  	1   	0.                
/                
