Cavity #51       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0748e9 	4138.2    	330160.	1   	0.                
   lr(2) =       	5.6053e9 	3924.5    	105320.	1   	0.                
   lr(3) =       	2.549e9  	68356.    	2129.9 	1   	0.                
   lr(4) =       	1.7044e9 	52657.    	1738.3 	1   	0.                
   lr(5) =       	1.739e9  	39677.    	1733.7 	1   	0.                
   lr(6) =       	1.8714e9 	36804.    	1861.7 	1   	0.                
   lr(7) =       	1.872e9  	38308.    	1344.2 	1   	0.                
   lr(8) =       	1.854e9  	29019.    	1564.7 	1   	0.                
   lr(9) =       	2.5442e9 	17953.    	3057.6 	1   	0.                
   lr(10) =      	1.8729e9 	34724.    	778.46 	1   	0.                
/                
