Cavity #89       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0683e9 	973.56           	4.7257e7	1   	0.                
   lr(2) =       	3.062e9  	262.94           	1.7544e7	1   	0.                
   lr(3) =       	2.5577e9 	64836.           	4700.6  	1   	0.                
   lr(4) =       	1.7381e9 	46714.           	1814.2  	1   	0.                
   lr(5) =       	1.7034e9 	47413.99999999999	1285.4  	1   	0.                
   lr(6) =       	1.8686e9 	35874.           	1781.4  	1   	0.                
   lr(7) =       	1.8695e9 	33640.           	1222.6  	1   	0.                
   lr(8) =       	2.5458e9 	17970.           	2962.1  	1   	0.                
   lr(9) =       	1.857e9  	21447.           	1607.3  	1   	0.                
   lr(10) =      	1.8698e9 	39807.           	520.54  	1   	0.                
/                
