Cavity #55       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0737e9 	278.32           	2.3126e7	1   	0.                
   lr(2) =       	5.6043e9 	2935.6           	433670. 	1   	0.                
   lr(3) =       	2.5543e9 	35077.           	6591.4  	1   	0.                
   lr(4) =       	1.7422e9 	48442.99999999999	1795.7  	1   	0.                
   lr(5) =       	1.7083e9 	51369.99999999999	1598.3  	1   	0.                
   lr(6) =       	2.5547e9 	38370.           	2863.6  	1   	0.                
   lr(7) =       	1.872e9  	30747.           	2203.8  	1   	0.                
   lr(8) =       	1.8617e9 	21957.           	1691.3  	1   	0.                
   lr(9) =       	1.8726e9 	33559.           	1026.7  	1   	0.                
   lr(10) =      	1.8733e9 	30175.           	765.66  	1   	0.                
/                
