Cavity #95       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.55e9   	74288.    	5448.6 	1   	0.                
   lr(2) =       	3.0764e9 	3751.9    	117080.	1   	0.                
   lr(3) =       	8.8251e9 	6888.8    	69181. 	1   	0.                
   lr(4) =       	1.8698e9 	38724.    	2364.  	1   	0.                
   lr(5) =       	1.7368e9 	42996.    	1723.1 	1   	0.                
   lr(6) =       	1.7035e9 	49080.    	1243.8 	1   	0.                
   lr(7) =       	1.8553e9 	27277.    	1966.9 	1   	0.                
   lr(8) =       	1.8705e9 	42321.    	899.11 	1   	0.                
   lr(9) =       	4.6785e9 	11457.    	6764.1 	1   	0.                
   lr(10) =      	1.871e9  	37538.    	636.74 	1   	0.                
/                
