Cavity #3        
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5576e9 	66094.           	11704. 	1   	0.                
   lr(2) =       	3.0808e9 	3698.4           	104430.	1   	0.                
   lr(3) =       	1.708e9  	53549.           	2052.  	1   	0.                
   lr(4) =       	1.7398e9 	43869.99999999999	1562.1 	1   	0.                
   lr(5) =       	1.8725e9 	36763.           	1541.8 	1   	0.                
   lr(6) =       	1.8733e9 	39187.           	1241.8 	1   	0.                
   lr(7) =       	1.8717e9 	33933.           	1329.8 	1   	0.                
   lr(8) =       	1.8548e9 	28379.           	1566.2 	1   	0.                
   lr(9) =       	2.5463e9 	10992.           	1587.9 	1   	0.                
   lr(10) =      	1.6738e9 	11415.           	1004.5 	1   	0.                
/                
