Cavity #5        
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5462e9 	76539.            	2135. 	1   	0.                
   lr(2) =       	1.7083e9 	54195.            	1808.3	1   	0.                
   lr(3) =       	1.8713e9 	38977.            	2495. 	1   	0.                
   lr(4) =       	1.8717e9 	38265.            	1679.1	1   	0.                
   lr(5) =       	1.8553e9 	28285.999999999996	2219.3	1   	0.                
   lr(6) =       	1.7422e9 	36412.            	1525.8	1   	0.                
   lr(7) =       	1.8724e9 	41381.            	971.47	1   	0.                
   lr(8) =       	2.5454e9 	46566.            	1160.7	1   	0.                
   lr(9) =       	1.8817e9 	8852.5            	2713.9	1   	0.                
   lr(10) =      	1.6783e9 	14865.            	800.32	1   	0.                
/                
