Cavity #64       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0611e9 	2215.9           	2.9097e7	1   	0.                
   lr(2) =       	3.0611e9 	2215.9           	2.9096e7	1   	0.                
   lr(3) =       	2.5557e9 	66129.           	12661.  	1   	0.                
   lr(4) =       	1.7338e9 	45945.           	2080.6  	1   	0.                
   lr(5) =       	1.8707e9 	40333.           	1615.2  	1   	0.                
   lr(6) =       	1.6997e9 	43899.           	1150.4  	1   	0.                
   lr(7) =       	1.8542e9 	28213.           	1521.8  	1   	0.                
   lr(8) =       	1.8717e9 	45016.99999999999	715.69  	1   	0.                
   lr(9) =       	2.5235e9 	14511.           	2316.6  	1   	0.                
   lr(10) =      	1.8726e9 	31160.           	370.42  	1   	0.                
/                
