Cavity #91       
                 	Frequency	R/Q              	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0595e9 	301.71           	1.1509e7	1   	0.                
   lr(2) =       	3.0635e9 	1214.            	2.6519e6	1   	0.                
   lr(3) =       	1.7047e9 	50393.           	1990.   	1   	0.                
   lr(4) =       	1.7395e9 	46173.           	1943.3  	1   	0.                
   lr(5) =       	2.569e9  	48084.           	2552.   	1   	0.                
   lr(6) =       	2.5404e9 	20989.           	3307.2  	1   	0.                
   lr(7) =       	1.8715e9 	38275.           	1063.   	1   	0.                
   lr(8) =       	1.8707e9 	37676.           	1067.5  	1   	0.                
   lr(9) =       	1.8729e9 	41651.99999999999	735.2   	1   	0.                
   lr(10) =      	1.8602e9 	22653.           	1170.9  	1   	0.                
/                
