Cavity #50       
                 	Frequency	R/Q       	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0636e9 	1412.     	5.7794e6	1   	0.                
   lr(2) =       	3.0653e9 	1324.8    	2.1105e6	1   	0.                
   lr(3) =       	3.0733e9 	3495.8    	105820. 	1   	0.                
   lr(4) =       	2.5456e9 	77599.    	3780.5  	1   	0.                
   lr(5) =       	1.7362e9 	44686.    	1940.1  	1   	0.                
   lr(6) =       	2.5443e9 	42059.    	2518.4  	1   	0.                
   lr(7) =       	1.6936e9 	48170.    	1436.1  	1   	0.                
   lr(8) =       	1.868e9  	41219.    	1210.6  	1   	0.                
   lr(9) =       	1.8691e9 	41447.    	1130.8  	1   	0.                
   lr(10) =      	1.8553e9 	25291.    	1021.3  	1   	0.                
/                
