Cavity #40       
                 	Frequency	R/Q              	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)       	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0771e9 	3707.1           	590200.	1   	0.                
   lr(2) =       	3.0746e9 	1462.8           	382750.	1   	0.                
   lr(3) =       	2.5571e9 	60596.           	4294.3 	1   	0.                
   lr(4) =       	1.8688e9 	40035.99999999999	2043.7 	1   	0.                
   lr(5) =       	1.7379e9 	42762.           	1672.9 	1   	0.                
   lr(6) =       	1.707e9  	47524.           	1348.8 	1   	0.                
   lr(7) =       	2.5446e9 	25314.           	3289.4 	1   	0.                
   lr(8) =       	1.8561e9 	22776.           	1826.7 	1   	0.                
   lr(9) =       	1.8692e9 	44878.           	908.69 	1   	0.                
   lr(10) =      	1.8702e9 	42269.           	695.39 	1   	0.                
/                
