Cavity #61       
                 	Frequency	R/Q       	Q      	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)	       	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.0757e9 	2038.2    	607360.	1   	0.                
   lr(2) =       	2.5658e9 	45260.    	7459.9 	1   	0.                
   lr(3) =       	1.7041e9 	53934.    	1718.6 	1   	0.                
   lr(4) =       	1.7411e9 	42604.    	1919.  	1   	0.                
   lr(5) =       	2.5437e9 	36728.    	2502.5 	1   	0.                
   lr(6) =       	1.8586e9 	25604.    	2034.8 	1   	0.                
   lr(7) =       	1.8734e9 	32201.    	1404.3 	1   	0.                
   lr(8) =       	1.8723e9 	31061.    	1430.7 	1   	0.                
   lr(9) =       	1.8739e9 	34228.    	949.03 	1   	0.                
   lr(10) =      	1.7913e9 	14690.    	834.63 	1   	0.                
/                
