Cavity #60       
                 	Frequency	R/Q               	Q       	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	        	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	3.061e9  	475.85            	4.3451e7	1   	0.                
   lr(2) =       	3.0723e9 	2947.5            	2.7749e6	1   	0.                
   lr(3) =       	2.5619e9 	49605.            	4799.3  	1   	0.                
   lr(4) =       	1.741e9  	48932.            	2092.6  	1   	0.                
   lr(5) =       	1.6983e9 	52142.            	1688.7  	1   	0.                
   lr(6) =       	2.5469e9 	32550.            	2775.2  	1   	0.                
   lr(7) =       	1.8705e9 	34709.            	1221.7  	1   	0.                
   lr(8) =       	1.8713e9 	32466.            	1305.2  	1   	0.                
   lr(9) =       	1.8598e9 	22761.999999999996	1516.4  	1   	0.                
   lr(10) =      	1.8724e9 	29277.000000000004	859.17  	1   	0.                
/                
