Cavity #9        
                 	Frequency	R/Q               	Q     	mode	Polarization_Angle
                 	(Hz)     	Ohm/m^(2n)        	      	    	(Radians/2pi)     
&long_range_modes
   lr(1) =       	2.5562e9 	73383.            	7048.9	1   	0.                
   lr(2) =       	1.7348e9 	50253.            	1602.4	1   	0.                
   lr(3) =       	1.7025e9 	46564.            	1510.4	1   	0.                
   lr(4) =       	1.8686e9 	36449.            	1228.2	1   	0.                
   lr(5) =       	1.8698e9 	36037.            	1182.7	1   	0.                
   lr(6) =       	3.079e9  	3560.2            	19233.	1   	0.                
   lr(7) =       	1.8704e9 	35188.            	1003. 	1   	0.                
   lr(8) =       	1.857e9  	24195.000000000004	1169.2	1   	0.                
   lr(9) =       	1.6741e9 	10080.            	930.92	1   	0.                
   lr(10) =      	1.7873e9 	10270.            	767.44	1   	0.                
/                
