adjust phase of the first BPM R:HP606 the same as the design value    (MAD output)

                 Horz         Vert         Sync.                           
 Tune           ( .45536 )   ( .401718)   ( 0      ) 2p                    
 Emittance      ( .114   )   ( .1555  )   ( 0      ) p-mm-mr               
 Decay time     ( 0      )   ( 0      )   ( 0      ) turns                 
 Coupling coef. (        )   (        )                                    
                                                                           
*Plot: [Position ] on [GxPB 2]                                             
 Plane: [Horizontal]                                                       
 Turns from -<  700>+ for (   39) turns                                    
 From -<R:HP606   >+ for ( 8) BPMs                                         
                                                                           
*Fit TBT phase: from -<  700>+ for (   30) turns                           
 Reference at turn# (  700) with phase ( .0325  )                          
    Average RMS deviation:  .06962 +  .02897                               
                                                                           
BPM           Phase    Ampl.   RMSdev     Beta  bml_psi *Calib Old_Cal     
R:HP118     0.22865  2.14011    0.055   40.176  0.26115                         
R:HP120     0.45263  1.92935    0.060   32.653  0.48513                         
R:HP122    -0.28211  2.13739    0.078   40.074 -0.24961                         
R:HP124    -0.06428  2.00571    0.062   35.288 -0.03178                         
R:HP126     0.20646  2.11919    0.056   39.395  0.23896                         
R:HP128     0.42197  1.99631    0.053   34.958  0.45447                         
R:HP130    -0.30561  2.06480    0.088   37.398 -0.27311                         
R:HP202    -0.09104  2.00857    0.062   35.389 -0.05854                         
R:HP204     0.17917  2.00761    0.057   35.355  0.21167                         
R:HP206     0.39394  2.10386    0.081   38.827  0.42644                         
R:HP208    -0.33945  1.93872    0.100   32.970 -0.30695                         
R:HP210    -0.12021  2.09799    0.087   38.610 -0.08771                         
R:HP212     0.14626  2.09849    0.076   38.629  0.17876                         
R:HP214     0.36538  2.12542    0.093   39.626  0.39788                         
R:HP216    -0.37390  1.92618    0.094   32.545 -0.34140                         
R:HP218    -0.15129  1.69829    0.070   25.300 -0.11879                         
R:HP220     0.12107  1.86614    0.052   30.548  0.15357                         
