# New buncher cavity
# On-axis Ez scaled to 1 V/m
# R(m)	Z(m)	Er(V/m)	Ez(V/m)	Bphi(T)
R	Z	Er	Ez	Bphi
0.	-0.001	0.	0.9999811614588565	0.
0.	-0.002	0.	0.999905807294283	0.
0.	-0.003	0.	0.9997864965337083	0.
0.	-0.004	0.	0.999604390635989	0.
0.	-0.005	0.	0.9993532100874107	0.
0.	-0.006	0.	0.9990078368331156	0.
0.	-0.006999999999999999	0.	0.9985619913593891	0.
0.	-0.008	0.	0.9979842760976589	0.
0.	-0.009000000000000001	0.	0.9972495729930674	0.
0.	-0.01	0.	0.9963327639907564	0.
0.	-0.011000000000000001	0.	0.9951836129810107	0.
0.	-0.012	0.	0.9937644428815432	0.
0.	-0.013000000000000001	0.	0.9920375766100672	0.
0.	-0.013999999999999999	0.	0.9899402190294383	0.
0.	-0.015	0.	0.9874221340299406	0.
0.	-0.016	0.	0.9844079674470009	0.
0.	-0.017	0.	0.9808412036571887	0.
0.	-0.018000000000000002	0.	0.9766339294685019	0.
0.	-0.019	0.	0.9717045112026524	0.
0.	-0.02	0.	0.9659713151813523	0.
0.	-0.021	0.	0.9593401486988847	0.
0.	-0.022000000000000002	0.	0.9517168190495328	0.
0.	-0.023	0.	0.9430008540138651	0.
0.	-0.024	0.	0.9330980608861649	0.
0.	-0.025	0.	0.9219205264744298	0.
0.	-0.026000000000000002	0.	0.9093677785592283	0.
0.	-0.027000000000000003	0.	0.8953707424897015	0.
0.	-0.027999999999999997	0.	0.879854064101276	0.
0.	-0.028999999999999998	0.	0.8627675072842359	0.
0.	-0.03	0.	0.8440733949562945	0.
0.	-0.031000000000000003	0.	0.823759168090023	0.
0.	-0.032	0.	0.8018436652265648	0.
0.	-0.033	0.	0.7783708429619209	0.
0.	-0.034	0.	0.753416055460665	0.
0.	-0.035	0.	0.7270860544559429	0.
0.	-0.036000000000000004	0.	0.699512709735758	0.
0.	-0.037000000000000005	0.	0.6708592886566864	0.
0.	-0.038	0.	0.6413204561438761	0.
0.	-0.039	0.	0.611091505073847	0.
0.	-0.04	0.	0.5802521852707726	0.
0.	-0.040999999999999995	0.	0.5492671807495227	0.
0.	-0.042	0.	0.5183028986235305	0.
0.	-0.043	0.	0.4876011001708027	0.
0.	-0.044000000000000004	0.	0.45744561941123274	0.
0.	-0.045	0.	0.4279406962724806	0.
0.	-0.046	0.	0.3992583894303225	0.
0.	-0.047	0.	0.37154689540841956	0.
0.	-0.048	0.	0.34492866472420375	0.
0.	-0.049	0.	0.3194997739375063	0.
0.	-0.05	0.	0.29532929769918614	0.
0.	-0.051	0.	0.27247249572993065	0.
0.	-0.052000000000000005	0.	0.25094192705716867	0.
0.	-0.053	0.	0.2307413593891289	0.
0.	-0.054000000000000006	0.	0.2118557218928966	0.
0.	-0.055	0.	0.1942561288053853	0.
0.	-0.055999999999999994	0.	0.177901763287451	0.
0.	-0.057	0.	0.16275306440269263	0.
0.	-0.057999999999999996	0.	0.14876105194413744	0.
0.	-0.059000000000000004	0.	0.13585288355269767	0.
0.	-0.06	0.	0.12396576409122877	0.
0.	-0.061	0.	0.11303501456847181	0.
0.	-0.062000000000000006	0.	0.1030235858535115	0.
0.	-0.063	0.	0.09384796041394554	0.
0.	-0.064	0.	0.08544408720988646	0.
0.	-0.065	0.	0.07775984627750426	0.
0.	-0.066	0.	0.07075442077765497	0.
0.	-0.067	0.	0.06435685220536522	0.
0.	-0.068	0.	0.058515648548176424	0.
0.	-0.069	0.	0.05320870591781372	0.
0.	-0.07	0.	0.048372350045212495	0.
0.	-0.071	0.	0.043963126695468695	0.
0.	-0.07200000000000001	0.	0.03996621621621622	0.
0.	-0.073	0.	0.03632843112629358	0.
0.	-0.07400000000000001	0.	0.033019190193911384	0.
0.	-0.075	0.	0.030022794634783478	0.
0.	-0.076	0.	0.027297799658394455	0.
0.	-0.077	0.	0.024828004119360994	0.
0.	-0.078	0.	0.022591366924545362	0.
0.	-0.079	0.	0.020559818647643925	0.
0.	-0.08	0.	0.018728021701999397	0.
0.	-0.081	0.	0.017066525168290967	0.
0.	-0.08199999999999999	0.	0.015567856425198432	0.
0.	-0.083	0.	0.014215311966241335	0.
0.	-0.084	0.	0.012994825680699285	0.
0.	-0.085	0.	0.011899804079172108	0.
0.	-0.086	0.	0.010913355269767907	0.
0.	-0.087	0.	0.01003428614488094	0.
0.	-0.08800000000000001	0.	0.009245579222345021	0.
0.	-0.08900000000000001	0.	0.008549055561137345	0.
0.	-0.09	0.	0.007929581533206068	0.
0.	-0.091	0.	0.007388350246156937	0.
0.	-0.092	0.	0.006914560936401084	0.
0.	-0.09300000000000001	0.	0.006508527579624232	0.
0.	-0.094	0.	0.00616217472118959	0.
0.	-0.095	0.	0.005876287300311464	0.
0.	-0.096	0.	0.005644114839746811	0.
0.	-0.09699999999999999	0.	0.005467666783884256	0.
0.	-0.098	0.	0.0053407578117150595	0.
0.	-0.099	0.	0.005267187029036471	0.
0.	-0.1	0.	0.005240649804079171	0.
0.001	-0.001	-0.0000215958128202552	0.9997990555611372	4.564534008139356e-11
0.001	-0.002	-0.0000460298402491711	0.9997362604239927	4.564218365352901e-11
0.001	-0.003	-0.00007357957399778961	0.999616949663418	4.5636659904766045e-11
0.001	-0.004	-0.00010605721892896613	0.9994348437656987	4.562845319231821e-11
0.001	-0.005	-0.0001454310258213604	0.9991836632171204	4.561693223061259e-11
0.001	-0.006	-0.00019340713855119058	0.9988508489902541	4.560146573407627e-11
0.001	-0.006999999999999999	-0.0002520263990756555	0.9984112830302421	4.558118568504652e-11
0.001	-0.008	-0.0003232028031749221	0.9978398472822264	4.555506624446734e-11
0.001	-0.009000000000000001	-0.0004093012157138551	0.9971114236913493	4.55216870197997e-11
0.001	-0.01	-0.0005126073796845172	0.9962008942027528	4.5479864350594363e-11
0.001	-0.011000000000000001	-0.0006355119059580026	0.995064302220436	4.542770438013262e-11
0.001	-0.012	-0.0007806817040088415	0.9936576911483974	4.5363392162392355e-11
0.001	-0.013000000000000001	-0.0009508690846980809	0.9919433839043503	4.528471819786837e-11
0.001	-0.013999999999999999	-0.0011489751833618003	0.9898648648648648	4.518939407635886e-11
0.001	-0.015	-0.001377863458253793	0.987359338892796	4.507473683417896e-11
0.001	-0.016	-0.0016407050637998592	0.9843702903647141	4.493774786485735e-11
0.001	-0.017	-0.0019404953280417962	0.9808160856023309	4.477519182983286e-11
0.001	-0.018000000000000002	-0.002279877926253391	0.9766339294685019	4.4583596658454487e-11
0.001	-0.019	-0.0026621935597307346	0.9717296292575103	4.4359332458677974e-11
0.001	-0.02	-0.0030894202752938813	0.9660215512910679	4.409829587427943e-11
0.001	-0.021	-0.003529331608560233	0.9594155028634582	4.379614681694508e-11
0.001	-0.022000000000000002	-0.004050424495127097	0.9518172912689641	4.344870301975439e-11
0.001	-0.023	-0.004620799005325028	0.9431327238018687	4.305154548369698e-11
0.001	-0.024	-0.0052392494725208485	0.9332613282427408	4.26003341204591e-11
0.001	-0.025	-0.005903967396764793	0.9221089118858635	4.209064993103037e-11
0.001	-0.026000000000000002	-0.006611762785089922	0.9095875615392344	4.151854738058011e-11
0.001	-0.027000000000000003	-0.0073576434240932385	0.8956093640108509	4.088023875567084e-11
0.001	-0.027999999999999997	-0.008134733246257408	0.8801178036772832	4.0172488717741396e-11
0.001	-0.028999999999999998	-0.008934240932382195	0.8630500854013865	3.939300885658999e-11
0.001	-0.03	-0.009745491309153018	0.844368532100874	3.8540142047587715e-11
0.001	-0.031000000000000003	-0.010556239324826683	0.824060584748317	3.761333591585828e-11
0.001	-0.032	-0.011352418868682808	0.8021513613985732	3.661330065767122e-11
0.001	-0.033	-0.012119021902943835	0.7786785391339294	3.554200904044186e-11
0.001	-0.034	-0.01284034964332362	0.7537111926052446	3.4402775313428e-11
0.001	-0.035	-0.013500640510398874	0.7273560735456646	3.3200570850516307e-11
0.001	-0.036000000000000004	-0.014085200442077766	0.6997576107706218	3.1941629596739266e-11
0.001	-0.037000000000000005	-0.014579272581131317	0.6710790716366924	3.0633369157578587e-11
0.001	-0.038	-0.014975635486787901	0.64150884155531	2.928446970966177e-11
0.001	-0.039	-0.015203142268662715	0.61125351652768	2.790471617936896e-11
0.001	-0.04	-0.015366911986335777	0.5805096453330654	2.6504761510743e-11
0.001	-0.040999999999999995	-0.015444212800160756	0.5495284085200441	2.5094864094343707e-11
0.001	-0.042	-0.015396237315382297	0.518558474831709	2.3685124499337636e-11
0.001	-0.043	-0.01522750678187481	0.48784914096252385	2.2285722205587977e-11
0.001	-0.044000000000000004	-0.014949073143775743	0.45763588867678084	2.0906994514351143e-11
0.001	-0.045	-0.014577702702702701	0.42807256606048427	1.955777942364788e-11
0.001	-0.046	-0.01412476137847885	0.39933625540038176	1.8246125824532802e-11
0.001	-0.047	-0.013603059379081685	0.3715764091228775	1.6978977858307923e-11
0.001	-0.048	-0.013025532502762985	0.3449154777454034	1.5761701452342983e-11
0.001	-0.049	-0.012405304933185974	0.3194495378277906	1.45989523377382e-11
0.001	-0.05	-0.011754558926956697	0.29524640811815533	1.3493650210268288e-11
0.001	-0.051	-0.01113922937807696	0.27236009243444187	1.2448556944314723e-11
0.001	-0.052000000000000005	-0.010464495629458453	0.25081131317190797	1.1464224914753811e-11
0.001	-0.053	-0.009792462071737163	0.2305975585250678	1.054073303228216e-11
0.001	-0.054000000000000006	-0.009130287350547574	0.21170312970963526	9.677371100630249e-12
0.001	-0.055	-0.00848412538932985	0.19409788505978096	8.872876548652253e-12
0.001	-0.055999999999999994	-0.007858497437958405	0.17774037978498944	8.125434430326058e-12
0.001	-0.057	-0.007309353963629056	0.16258602933788807	7.432993067539699e-12
0.001	-0.057999999999999996	-0.006740869587059177	0.14859778458756154	6.793603366086822e-12
0.001	-0.059000000000000004	-0.006201647744398673	0.13569463980709334	6.203793255316412e-12
0.001	-0.06	-0.0056917512307846875	0.12381317190796744	5.660650930523421e-12
0.001	-0.061	-0.005211048176429217	0.1128880739475535	5.161233022724153e-12
0.001	-0.062000000000000006	-0.004808939515723902	0.10288041294082186	4.703819278732427e-12
0.001	-0.063	-0.004395188636591982	0.0937129508690847	4.284661440459086e-12
0.001	-0.064	-0.004008307796644227	0.08531724103285442	3.900808247850773e-12
0.001	-0.065	-0.0036815030644026924	0.07763739576007234	3.549766122894489e-12
0.001	-0.066	-0.003355395358183462	0.07064076157942328	3.2298384856130385e-12
0.001	-0.067	-0.0030514857329448403	0.06425135637496232	2.937679522469995e-12
0.001	-0.068	-0.002768285943936501	0.05841724856827086	2.670914021497282e-12
0.001	-0.069	-0.002540571938109113	0.05311602029538832	2.428555598987227e-12
0.001	-0.07	-0.0023051466894403695	0.04828663468301014	2.207724014513424e-12
0.001	-0.071	-0.0020857655983120664	0.043883439666432225	2.0063833721032374e-12
0.001	-0.07200000000000001	-0.0019116974781472921	0.039891866773837034	1.823902386183756e-12
